_id.courseId,_id.sectionId,_id.unitId,wrong,correct
55,6,4,8,8
55,7,3,8,9
55,8,2,3,9
55,8,3,26,10
56,1,2,63,74
56,1,3,28,63
56,1,4,20,67
56,2,13,9,13
56,2,14,4,12
56,2,20,10,12
56,2,6,17,37
56,2,7,57,34
56,3,11,4,8
56,3,12,3,9
56,3,14,1,8
56,3,15,7,8
56,3,17,1,8
56,3,18,7,8
56,3,2,9,10
56,3,20,6,8
56,3,21,4,8
56,3,3,7,10
56,3,5,4,7
56,3,6,4,5
56,3,8,7,6
56,3,9,2,7
56,4,11,2,6
56,4,14,4,6
56,4,15,3,6
56,4,2,1,9
56,4,3,8,9
56,4,5,1,8
56,4,6,7,8
56,4,8,11,8
56,4,9,9,8
57,1,11,401,272
57,1,12,64,273
57,1,3,154,543
57,1,4,278,540
57,1,6,342,474
57,1,7,330,461
57,2,2,57,229
57,2,4,136,211
57,2,5,133,210
57,2,6,86,208
57,2,8,146,181
57,3,2,164,165
57,3,3,32,177
57,3,4,175,176
57,3,6,57,162
57,3,7,200,163
57,4,10,176,119
57,4,11,77,120
57,4,2,4,146
57,4,3,12,145
57,4,4,63,145
58,1,3,39,45
58,1,4,62,44
58,1,6,84,30
58,1,7,54,34
58,2,2,2,17
58,2,3,9,16
58,3,10,25,19
58,3,12,15,17
58,3,14,4,17
58,3,15,33,17
58,3,17,10,17
58,3,18,8,16
58,3,20,28,16
58,3,23,22,13
58,3,24,1,14
58,3,27,25,14
58,3,29,4,14
58,3,30,3,13
58,3,32,16,11
58,3,5,10,19
58,3,6,21,18
58,3,7,9,18
58,3,8,7,18
58,4,10,9,11
58,4,14,3,9
58,4,2,5,11
58,4,3,12,12
58,4,6,11,11
58,4,7,13,10
58,4,9,14,11
58,5,10,22,11
58,5,11,7,11
60,1,10,18,16
60,1,11,27,14
60,1,3,30,27
60,1,4,78,26
60,1,7,11,14
60,1,8,20,13
60,2,3,16,12
60,2,4,2,12
60,3,2,4,8
60,3,3,9,9
60,4,11,6,4
60,4,12,2,4
60,4,19,9,5
60,4,20,1,5
60,4,3,10,7
60,4,4,11,7
60,4,7,9,5
60,4,8,5,5
60,5,16,1,2
60,5,17,2,2
60,5,2,8,7
60,5,3,6,8
60,5,4,6,7
60,5,7,5,5
60,5,8,1,3
60,6,5,1,3
60,6,6,6,3
